src,dst,scion_avg,scion_std,ip_avg,ip_std
oregon,frankfurt,142.6468,0.49592811979155815,138.961,0.059
oregon,singapore,233.84480000000002,1.947115738727414,230.332,0.608
oregon,tokyo,103.1762,0.261176568627432,101.969,0.405
frankfurt,oregon,144.1324,3.6351186087939396,138.989,0.334
frankfurt,singapore,183.9356,0.7405034098503468,183.115,0.47
frankfurt,tokyo,243.7004,0.755321984321921,222.56,0.299
singapore,oregon,232.8774,0.3016003978777242,230.361,0.087
singapore,frankfurt,183.979,0.7639999999999959,183.133,0.023
singapore,tokyo,84.5826,0.37693938504751734,89.277,0.265
tokyo,oregon,104.0472,1.4903319093410052,102.016,0.12
tokyo,frankfurt,266.2482,0.38929256350462876,222.571,0.112
tokyo,singapore,84.6876,0.30968500125126874,89.342,1.969
