Resolved local address:
  172.31.6.223
  Using path:
    Hops: [16-ffaa:0:1009 1>7 16-ffaa:0:1001 6>1 16-ffaa:0:1005 7>1 16-ffaa:0:1008] MTU: 1472 NextHop: 172.31.6.223:30001

PING 16-ffaa:0:1008,0.0.0.0:0 pld=0B scion_pkt=144B
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=0 time=141.948ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=1 time=141.515ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=2 time=141.69ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=3 time=148.284ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=4 time=142.002ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=5 time=142.452ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=6 time=145.684ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=7 time=142.228ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=8 time=141.649ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=9 time=141.884ms

--- 16-ffaa:0:1008,0.0.0.0 statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9.144232s
